ustt,utc,lon,lat,height
1450003789,1.69512394800028E+018,54435773,514056609,63862
1450503790,1.69512394850028E+018,54434209,514056621,63924
1451003753,1.69512394900029E+018,54432651,514056632,64013
1451503753,1.69512394950029E+018,54431100,514056640,64084
1452003716,1.69512395000029E+018,54429556,514056647,64164
1452503717,1.69512395050029E+018,54428015,514056649,64281
1453003679,1.69512395100029E+018,54426480,514056649,64417
1453503680,1.69512395150029E+018,54424948,514056647,64549
1454003643,1.69512395200029E+018,54423416,514056643,64704
1454503644,1.69512395250029E+018,54421889,514056634,64882
1455003605,1.69512395300029E+018,54420367,514056621,65052
1455503606,1.69512395350029E+018,54418850,514056604,65217
1456003569,1.69512395400029E+018,54417336,514056583,65418
1456503569,1.69512395450029E+018,54415825,514056557,65629
1457003532,1.69512395500029E+018,54414320,514056527,65840
1457503533,1.69512395550029E+018,54412826,514056494,66066
1458003496,1.69512395600029E+018,54411344,514056460,66302
1458503496,1.6951239565003E+018,54409875,514056424,66569
1459003459,1.6951239570003E+018,54408424,514056384,66888
1459503460,1.6951239575003E+018,54406981,514056341,67206
1460003422,1.6951239580003E+018,54405542,514056294,67543
1460503423,1.6951239585003E+018,54404108,514056246,67855
1461003386,1.6951239590003E+018,54402676,514056193,68175
1461503387,1.6951239595003E+018,54401250,514056141,68554
1462003349,1.6951239600003E+018,54399841,514056092,68875
1462503350,1.6951239605003E+018,54398440,514056038,69260
1463003312,1.6951239610003E+018,54397056,514055985,69642
1463503312,1.6951239615003E+018,54395683,514055930,69931
1464003275,1.6951239620003E+018,54394315,514055869,70310
1464503276,1.6951239625003E+018,54392961,514055810,70669
1465003239,1.69512396300031E+018,54391614,514055756,70984
1465503239,1.69512396350031E+018,54390267,514055709,71390
1466003202,1.69512396400031E+018,54388928,514055677,71717
1466503203,1.69512396450031E+018,54387599,514055657,71903
1467003165,1.69512396500031E+018,54386272,514055643,72172
1467503166,1.69512396550031E+018,54384947,514055634,72410
1468003129,1.69512396600031E+018,54383621,514055623,72629
1468503130,1.69512396650031E+018,54382293,514055620,72821
1469003092,1.69512396700031E+018,54380959,514055627,73041
1469503093,1.69512396750031E+018,54379619,514055638,73214
1470003056,1.69512396800031E+018,54378267,514055654,73328
1470503057,1.69512396850031E+018,54376902,514055674,73471
1471003018,1.69512396900031E+018,54375523,514055702,73525
1471503019,1.69512396950031E+018,54374133,514055740,73564
1472002982,1.69512397000032E+018,54372730,514055789,73579
1472502982,1.69512397050032E+018,54371320,514055847,73524
1473002945,1.69512397100032E+018,54369897,514055918,73477
1473502946,1.69512397150032E+018,54368464,514056005,73425
1474002909,1.69512397200032E+018,54367028,514056107,73277
1474502909,1.69512397250032E+018,54365592,514056227,73155
1475002872,1.69512397300032E+018,54364155,514056367,73037
1475502873,1.69512397350032E+018,54362717,514056525,72999
1476002836,1.69512397400032E+018,54361282,514056697,72826
1476502836,1.69512397450032E+018,54359851,514056889,72594
1477002799,1.69512397500032E+018,54358426,514057102,72315
1477502800,1.69512397550032E+018,54357004,514057338,72057
1478002761,1.69512397600032E+018,54355579,514057593,71739
1478502762,1.69512397650032E+018,54354152,514057869,71429
1479002725,1.69512397700033E+018,54352723,514058165,71111
1479502726,1.69512397750033E+018,54351291,514058473,70754
1480002688,1.69512397800033E+018,54349858,514058808,70492
1480502689,1.69512397850033E+018,54348431,514059160,70156
1481002652,1.69512397900033E+018,54347017,514059535,69743
1481502653,1.69512397950033E+018,54345618,514059935,69362
1482002615,1.69512398000033E+018,54344230,514060356,68966
1482502616,1.69512398050033E+018,54342859,514060797,68618
1483002579,1.69512398100033E+018,54341504,514061258,68239
1483502579,1.69512398150033E+018,54340168,514061741,67956
1484002542,1.69512398200033E+018,54338852,514062243,67670
1484502543,1.69512398250033E+018,54337557,514062759,67413
1485002505,1.69512398300033E+018,54336285,514063292,67127
1485502505,1.69512398350033E+018,54335041,514063844,66872
1486002468,1.69512398400034E+018,54333828,514064418,66670
1486502469,1.69512398450034E+018,54332652,514065022,66439
1487002432,1.69512398500034E+018,54331514,514065655,66237
1487502432,1.69512398550034E+018,54330403,514066305,66021
1488002395,1.69512398600034E+018,54329312,514066971,65841
1488502396,1.69512398650034E+018,54328232,514067649,65693
1489002358,1.69512398700034E+018,54327170,514068342,65603
1489502359,1.69512398750034E+018,54326137,514069054,65496
1490002322,1.69512398800034E+018,54325137,514069790,65396
1490502323,1.69512398850034E+018,54324176,514070548,65358
1491002285,1.69512398900034E+018,54323256,514071326,65355
1491502286,1.69512398950034E+018,54322379,514072119,65345
1492002248,1.69512399000034E+018,54321539,514072925,65388
1492502249,1.69512399050035E+018,54320724,514073739,65369
1493002211,1.69512399100035E+018,54319938,514074564,65408
1493502212,1.69512399150035E+018,54319183,514075400,65437
1494002175,1.69512399200035E+018,54318468,514076250,65494
1494502176,1.69512399250035E+018,54317796,514077113,65571
1495002138,1.69512399300035E+018,54317164,514077986,65651
1495502139,1.69512399350035E+018,54316567,514078871,65732
